Time,hex1,hex2,hex3
14:48:30,40,84,d9
14:48:30,40,84,d9
14:48:30,40,84,d9
14:48:30,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:31,40,84,d9
14:48:32,40,84,d9
14:48:32,40,84,d9
14:48:32,40,84,d9
14:48:32,40,84,d9
14:48:32,40,84,d9
14:48:32,40,84,d9
14:48:32,40,84,d9
14:48:32,40,84,d9
14:48:32,40,84,d9
14:48:32,40,84,d9
14:48:32,40,84,d9
14:48:32,40,84,d9
14:48:32,40,84,d9
14:48:32,40,84,d9
14:48:32,40,84,d9
14:48:32,40,84,d9
14:48:32,40,84,d9
14:48:32,40,84,d9
14:48:32,40,84,d9
14:48:32,40,84,d9
14:48:32,40,84,d9
14:48:32,40,84,da
14:48:32,40,84,da
14:48:32,40,84,da
14:48:32,40,84,da
14:48:32,40,84,da
14:48:32,40,84,da
14:48:32,40,84,da
14:48:32,40,84,da
14:48:32,40,84,da
14:48:33,40,84,d9
14:48:33,40,84,d9
14:48:33,40,84,d9
14:48:33,40,84,d9
14:48:33,40,84,d9
14:48:33,40,84,da
14:48:33,40,84,da
14:48:33,40,84,db
14:48:33,40,84,db
14:48:33,40,84,dd
14:48:33,40,84,df
14:48:33,40,84,e3
14:48:33,40,84,e7
14:48:33,40,84,fc
14:48:33,40,85,c7
14:48:33,40,85,d3
14:48:33,40,85,da
14:48:33,40,85,da
14:48:33,40,85,ef
14:48:33,40,85,f7
14:48:33,40,86,d0
14:48:33,40,86,da
14:48:33,40,86,f7
14:48:33,40,87,c1
14:48:33,40,87,df
14:48:33,40,87,f7
14:48:33,40,87,f7
14:48:33,40,88,d0
14:48:33,40,88,e7
14:48:33,40,89,c2
14:48:33,40,89,db
14:48:34,40,89,f5
14:48:34,40,8a,d0
14:48:34,40,8a,ec
14:48:34,40,8a,ec
14:48:34,40,8b,c7
14:48:34,40,8b,e5
14:48:34,40,8c,c1
14:48:34,40,8c,dd
14:48:34,40,8c,fb
14:48:34,40,8d,d8
14:48:34,40,8d,f4
14:48:34,40,8e,d1
14:48:34,40,8e,d1
14:48:34,40,8e,ed
14:48:34,40,8f,cb
14:48:34,40,8f,e9
14:48:34,40,90,c4
14:48:34,40,90,e1
14:48:34,40,90,fd
14:48:34,40,91,d7
14:48:34,40,91,f3
14:48:34,40,91,f3
14:48:34,40,92,ce
14:48:34,40,92,e7
14:48:34,40,93,c2
14:48:34,40,93,dc
14:48:34,40,93,f2
14:48:34,40,94,cb
14:48:34,40,94,e1
14:48:34,40,94,f6
14:48:35,40,94,f6
14:48:35,40,95,c0
14:48:35,40,95,db
14:48:35,40,95,e4
14:48:35,40,95,fc
14:48:35,40,96,c3
14:48:35,40,96,c9
14:48:35,40,96,e1
14:48:35,40,96,e7
14:48:35,40,96,e7
14:48:35,40,96,ec
14:48:35,40,97,c2
14:48:35,40,97,c6
14:48:35,40,97,ca
14:48:35,40,97,ce
14:48:35,40,97,d2
14:48:35,40,97,e9
14:48:35,40,97,ed
14:48:35,40,97,ed
14:48:35,40,97,ef
14:48:35,40,97,ef
14:48:35,40,97,ed
14:48:35,40,97,ee
14:48:35,40,97,ee
14:48:35,40,97,ed
14:48:35,40,97,ec
14:48:35,40,97,ec
14:48:35,40,97,ec
14:48:35,40,97,eb
14:48:35,40,97,eb
14:48:35,40,97,eb
14:48:36,40,97,ec
14:48:36,40,97,ec
14:48:36,40,97,ec
14:48:36,40,97,ed
14:48:36,40,97,ed
